,HGS,HGC,AGS,AGC,M_no
Arsenal FC,35,17,26,31,38
Aston Villa FC,29,29,23,25,38
Chelsea FC,37,22,39,11,38
Everton FC,27,25,16,41,38
Norwich City FC,12,43,11,41,38
Liverpool FC,49,9,45,17,38
Manchester City FC,58,15,41,11,38
Manchester United FC,32,22,25,35,38
Newcastle United FC,26,27,18,35,38
Tottenham Hotspur FC,38,19,31,21,38
Watford FC,17,46,17,31,38
Wolverhampton Wanderers FC,20,25,18,18,38
Burnley FC,18,25,16,28,38
Leicester City FC,34,23,28,36,38
Southampton FC,23,24,20,43,38
Leeds United FC,19,38,23,41,38
Crystal Palace FC,27,17,23,29,38
Brentford FC,22,21,26,35,38
Brighton & Hove Albion FC,19,23,23,21,38
West Ham United FC,33,26,27,25,38
